angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.31,,"[515, 132, 168, 219]",,0.0,,0.0,,0.03,,0.6,,0.05,,0.0,
0.36,,"[521, 135, 168, 215]",,0.0,,0.01,,0.03,,0.58,,0.02,,0.0,
0.39,,"[524, 135, 165, 213]",,0.0,,0.01,,0.01,,0.56,,0.02,,0.0,
0.31,,"[523, 131, 167, 213]",,0.0,,0.01,,0.03,,0.6,,0.04,,0.01,
0.47,,"[522, 124, 172, 220]",,0.0,,0.01,,0.02,,0.43,,0.07,,0.0,
0.24,,"[522, 125, 168, 215]",,0.0,,0.01,,0.08,,0.6,,0.07,,0.0,
0.18,,"[524, 121, 170, 218]",,0.0,,0.01,,0.13,,0.59,,0.08,,0.0,
0.15,,"[524, 120, 171, 220]",,0.0,,0.01,,0.05,,0.72,,0.06,,0.0,
0.23,,"[526, 121, 169, 219]",,0.0,,0.03,,0.08,,0.56,,0.08,,0.01,
0.38,,"[524, 124, 169, 218]",,0.0,,0.02,,0.06,,0.48,,0.06,,0.01,
0.29,,"[525, 124, 171, 218]",,0.0,,0.01,,0.04,,0.58,,0.07,,0.0,
0.17,,"[527, 127, 170, 211]",,0.0,,0.02,,0.13,,0.56,,0.11,,0.01,
0.3,,"[531, 129, 168, 214]",,0.0,,0.01,,0.01,,0.65,,0.03,,0.0,
0.25,,"[528, 126, 170, 214]",,0.0,,0.01,,0.02,,0.65,,0.06,,0.0,
0.28,,"[530, 126, 168, 214]",,0.0,,0.02,,0.01,,0.63,,0.05,,0.0,
0.31,,"[532, 124, 170, 216]",,0.0,,0.02,,0.01,,0.58,,0.07,,0.0,
0.21,,"[535, 125, 167, 211]",,0.0,,0.01,,0.01,,0.7,,0.06,,0.0,
0.2,,"[536, 126, 167, 209]",,0.0,,0.01,,0.01,,0.69,,0.09,,0.0,
0.27,,"[538, 123, 165, 214]",,0.0,,0.01,,0.01,,0.62,,0.08,,0.0,
0.25,,"[539, 126, 165, 208]",,0.0,,0.01,,0.01,,0.63,,0.11,,0.0,
0.46,,"[540, 127, 163, 209]",,0.0,,0.02,,0.0,,0.44,,0.07,,0.0,
0.38,,"[539, 127, 166, 211]",,0.0,,0.04,,0.01,,0.48,,0.08,,0.01,
0.5,,"[541, 125, 167, 215]",,0.0,,0.03,,0.01,,0.35,,0.1,,0.0,
0.21,,"[543, 125, 168, 212]",,0.0,,0.01,,0.02,,0.71,,0.06,,0.0,
0.31,,"[542, 125, 166, 212]",,0.0,,0.01,,0.02,,0.62,,0.05,,0.0,
0.59,,"[543, 125, 166, 212]",,0.0,,0.05,,0.02,,0.27,,0.06,,0.01,
0.54,,"[540, 127, 173, 217]",,0.0,,0.09,,0.02,,0.26,,0.08,,0.0,
0.4,,"[536, 118, 175, 220]",,0.0,,0.05,,0.04,,0.42,,0.09,,0.0,
0.73,,"[541, 127, 165, 210]",,0.0,,0.11,,0.0,,0.12,,0.04,,0.01,
0.63,,"[541, 126, 170, 215]",,0.0,,0.14,,0.02,,0.16,,0.03,,0.01,
0.81,,"[536, 124, 171, 218]",,0.0,,0.09,,0.01,,0.05,,0.03,,0.01,
0.51,,"[536, 125, 173, 220]",,0.0,,0.13,,0.04,,0.25,,0.07,,0.01,
0.33,,"[536, 129, 169, 210]",,0.0,,0.11,,0.02,,0.46,,0.07,,0.01,
0.49,,"[530, 125, 174, 224]",,0.0,,0.04,,0.02,,0.39,,0.06,,0.0,
0.3,,"[536, 129, 171, 220]",,0.0,,0.08,,0.03,,0.51,,0.07,,0.01,
0.61,,"[536, 128, 165, 213]",,0.0,,0.1,,0.01,,0.22,,0.06,,0.0,
0.51,,"[530, 123, 171, 221]",,0.0,,0.13,,0.02,,0.21,,0.12,,0.0,
0.59,,"[534, 127, 167, 216]",,0.0,,0.11,,0.01,,0.22,,0.07,,0.0,
0.22,,"[537, 124, 166, 215]",,0.0,,0.02,,0.02,,0.69,,0.04,,0.0,
0.35,,"[535, 123, 168, 218]",,0.0,,0.02,,0.02,,0.57,,0.04,,0.0,
0.34,,"[533, 122, 171, 221]",,0.0,,0.03,,0.03,,0.54,,0.06,,0.0,
0.43,,"[531, 131, 173, 217]",,0.0,,0.04,,0.02,,0.43,,0.08,,0.0,
0.65,,"[531, 131, 171, 219]",,0.0,,0.02,,0.01,,0.29,,0.03,,0.0,
0.65,,"[534, 135, 166, 213]",,0.0,,0.06,,0.01,,0.23,,0.04,,0.01,
0.44,,"[531, 129, 172, 219]",,0.0,,0.03,,0.04,,0.4,,0.09,,0.01,
0.32,,"[532, 132, 170, 217]",,0.0,,0.05,,0.04,,0.46,,0.11,,0.01,
0.63,,"[530, 132, 171, 219]",,0.0,,0.06,,0.06,,0.14,,0.08,,0.03,
0.6,,"[524, 131, 172, 223]",,0.0,,0.05,,0.13,,0.09,,0.1,,0.02,
0.75,,"[525, 137, 168, 218]",,0.0,,0.03,,0.04,,0.11,,0.06,,0.0,
0.48,,"[518, 130, 174, 228]",,0.0,,0.02,,0.03,,0.35,,0.12,,0.0,
0.18,,"[515, 132, 176, 225]",,0.0,,0.01,,0.01,,0.75,,0.05,,0.0,
0.26,,"[520, 133, 172, 223]",,0.0,,0.01,,0.02,,0.64,,0.06,,0.0,
0.12,,"[513, 128, 175, 227]",,0.0,,0.0,,0.03,,0.82,,0.03,,0.0,
0.21,,"[510, 127, 177, 230]",,0.0,,0.01,,0.04,,0.7,,0.04,,0.0,
0.26,,"[512, 128, 176, 227]",,0.0,,0.0,,0.01,,0.7,,0.03,,0.0,
0.31,,"[522, 142, 169, 215]",,0.0,,0.01,,0.06,,0.59,,0.03,,0.0,
0.26,,"[525, 146, 167, 211]",,0.0,,0.0,,0.04,,0.67,,0.03,,0.0,
0.15,,"[519, 133, 173, 221]",,0.0,,0.0,,0.1,,0.69,,0.06,,0.0,
0.35,,"[526, 134, 173, 217]",,0.0,,0.0,,0.05,,0.54,,0.06,,0.0,
0.35,,"[532, 138, 163, 213]",,0.0,,0.0,,0.02,,0.61,,0.02,,0.0,
0.18,,"[534, 134, 168, 217]",,0.0,,0.01,,0.02,,0.76,,0.02,,0.0,
0.3,,"[534, 133, 169, 218]",,0.0,,0.01,,0.02,,0.65,,0.03,,0.0,
0.33,,"[536, 134, 167, 215]",,0.0,,0.01,,0.02,,0.62,,0.02,,0.0,
0.29,,"[536, 135, 167, 214]",,0.0,,0.01,,0.02,,0.66,,0.02,,0.0,
0.23,,"[534, 135, 167, 215]",,0.0,,0.01,,0.02,,0.69,,0.05,,0.0,
0.24,,"[535, 138, 166, 211]",,0.0,,0.02,,0.09,,0.59,,0.06,,0.0,
0.36,,"[537, 138, 166, 217]",,0.0,,0.02,,0.02,,0.54,,0.07,,0.0,
0.26,0.24,"[538, 138, 166, 216]","[707, 69, 31, 40]",0.0,0.0,0.01,0.06,0.02,0.22,0.65,0.04,0.05,0.43,0.0,0.02
0.39,,"[539, 139, 165, 214]",,0.0,,0.01,,0.01,,0.51,,0.07,,0.0,
0.58,,"[540, 143, 165, 214]",,0.0,,0.14,,0.09,,0.1,,0.09,,0.01,
0.55,,"[540, 142, 162, 208]",,0.0,,0.04,,0.01,,0.36,,0.05,,0.01,
0.36,,"[543, 142, 164, 206]",,0.0,,0.04,,0.03,,0.5,,0.07,,0.01,
0.6,,"[541, 139, 166, 211]",,0.0,,0.03,,0.01,,0.32,,0.05,,0.0,
0.47,,"[542, 140, 166, 209]",,0.0,,0.06,,0.02,,0.37,,0.07,,0.01,
0.6,,"[542, 140, 163, 211]",,0.0,,0.04,,0.02,,0.24,,0.09,,0.0,
0.65,,"[541, 138, 166, 214]",,0.0,,0.03,,0.0,,0.23,,0.09,,0.0,
0.73,,"[540, 135, 168, 215]",,0.0,,0.04,,0.0,,0.16,,0.06,,0.0,
0.58,,"[539, 137, 164, 211]",,0.0,,0.13,,0.01,,0.19,,0.08,,0.01,
0.6,,"[540, 133, 167, 214]",,0.0,,0.11,,0.01,,0.21,,0.06,,0.01,
0.7,,"[540, 135, 166, 214]",,0.0,,0.09,,0.02,,0.14,,0.05,,0.0,
0.56,,"[538, 130, 170, 225]",,0.0,,0.05,,0.22,,0.11,,0.05,,0.01,
0.3,,"[539, 132, 169, 226]",,0.0,,0.05,,0.49,,0.06,,0.06,,0.04,
0.34,,"[536, 134, 173, 226]",,0.0,,0.04,,0.45,,0.09,,0.04,,0.05,
0.52,,"[541, 136, 172, 221]",,0.0,,0.06,,0.27,,0.06,,0.02,,0.07,
0.35,,"[539, 136, 173, 221]",,0.0,,0.2,,0.27,,0.03,,0.06,,0.1,
0.56,,"[534, 126, 180, 231]",,0.0,,0.08,,0.13,,0.02,,0.04,,0.17,
0.59,,"[539, 127, 171, 222]",,0.0,,0.13,,0.03,,0.09,,0.05,,0.11,
0.62,,"[536, 125, 174, 225]",,0.0,,0.1,,0.03,,0.17,,0.06,,0.01,
0.59,,"[539, 126, 167, 213]",,0.0,,0.03,,0.03,,0.24,,0.1,,0.0,
0.49,,"[538, 125, 170, 217]",,0.0,,0.04,,0.06,,0.29,,0.11,,0.01,
0.54,,"[543, 132, 166, 216]",,0.0,,0.02,,0.02,,0.38,,0.03,,0.0,
0.63,,"[541, 133, 167, 219]",,0.0,,0.02,,0.01,,0.28,,0.05,,0.0,
0.28,,"[538, 129, 168, 217]",,0.0,,0.01,,0.07,,0.52,,0.11,,0.01,
0.67,,"[542, 133, 169, 217]",,0.0,,0.01,,0.01,,0.28,,0.03,,0.0,
0.56,,"[538, 127, 170, 214]",,0.0,,0.05,,0.0,,0.22,,0.13,,0.03,
0.5,,"[519, 108, 183, 223]",,0.06,,0.1,,0.04,,0.09,,0.17,,0.03,
0.24,,"[524, 117, 174, 219]",,0.0,,0.02,,0.02,,0.59,,0.13,,0.0,
0.11,,"[525, 122, 167, 214]",,0.0,,0.01,,0.02,,0.8,,0.05,,0.0,
0.08,,"[522, 122, 168, 213]",,0.0,,0.02,,0.01,,0.79,,0.1,,0.0,
0.14,,"[522, 120, 173, 218]",,0.0,,0.02,,0.02,,0.75,,0.08,,0.0,
0.07,,"[519, 119, 176, 219]",,0.0,,0.0,,0.02,,0.87,,0.03,,0.0,
0.1,,"[524, 127, 165, 209]",,0.0,,0.03,,0.02,,0.79,,0.05,,0.0,
0.1,,"[526, 127, 166, 211]",,0.0,,0.01,,0.02,,0.85,,0.02,,0.0,
0.16,,"[524, 127, 167, 215]",,0.0,,0.02,,0.04,,0.72,,0.04,,0.01,
0.44,,"[518, 122, 169, 221]",,0.0,,0.04,,0.04,,0.36,,0.08,,0.04,
0.29,,"[526, 127, 168, 220]",,0.0,,0.1,,0.08,,0.41,,0.1,,0.02,
0.28,,"[525, 123, 169, 222]",,0.0,,0.02,,0.03,,0.58,,0.08,,0.01,
0.55,,"[527, 127, 169, 217]",,0.0,,0.01,,0.02,,0.31,,0.11,,0.0,
0.41,,"[536, 126, 171, 222]",,0.0,,0.01,,0.01,,0.51,,0.06,,0.0,
0.44,,"[533, 121, 175, 221]",,0.0,,0.01,,0.1,,0.37,,0.08,,0.0,
0.61,,"[536, 131, 168, 212]",,0.0,,0.04,,0.02,,0.28,,0.04,,0.01,
0.54,,"[540, 128, 169, 218]",,0.0,,0.01,,0.02,,0.39,,0.03,,0.0,
0.78,,"[543, 138, 166, 212]",,0.0,,0.02,,0.02,,0.14,,0.05,,0.0,
0.06,,"[542, 130, 170, 218]",,0.0,,0.0,,0.21,,0.7,,0.03,,0.0,
0.08,,"[545, 132, 171, 220]",,0.0,,0.0,,0.17,,0.72,,0.02,,0.0,
0.08,,"[551, 135, 172, 219]",,0.0,,0.0,,0.04,,0.84,,0.04,,0.0,
0.07,,"[549, 134, 171, 221]",,0.0,,0.0,,0.17,,0.73,,0.03,,0.0,
0.15,,"[551, 136, 169, 219]",,0.0,,0.01,,0.11,,0.69,,0.04,,0.0,
0.16,,"[548, 130, 171, 221]",,0.0,,0.01,,0.15,,0.57,,0.08,,0.03,
0.15,,"[549, 132, 169, 218]",,0.0,,0.01,,0.07,,0.71,,0.07,,0.0,
0.12,,"[549, 128, 175, 223]",,0.0,,0.0,,0.11,,0.71,,0.05,,0.0,
0.32,,"[554, 136, 170, 218]",,0.0,,0.0,,0.02,,0.61,,0.05,,0.0,
0.23,,"[555, 136, 171, 219]",,0.0,,0.0,,0.03,,0.69,,0.04,,0.0,
0.07,,"[556, 134, 167, 216]",,0.0,,0.0,,0.09,,0.82,,0.02,,0.0,
0.05,,"[559, 133, 167, 214]",,0.0,,0.0,,0.11,,0.81,,0.03,,0.0,
0.23,,"[561, 138, 166, 216]",,0.0,,0.0,,0.03,,0.7,,0.03,,0.0,
0.48,,"[564, 142, 162, 209]",,0.0,,0.01,,0.04,,0.43,,0.04,,0.0,
0.49,,"[566, 141, 163, 210]",,0.0,,0.04,,0.04,,0.38,,0.05,,0.01,
0.41,,"[566, 138, 164, 214]",,0.0,,0.05,,0.05,,0.41,,0.07,,0.02,
0.51,,"[564, 138, 166, 214]",,0.0,,0.04,,0.07,,0.31,,0.06,,0.01,
0.38,,"[569, 135, 166, 217]",,0.0,,0.04,,0.14,,0.36,,0.07,,0.01,
0.63,,"[569, 143, 160, 207]",,0.0,,0.03,,0.04,,0.26,,0.04,,0.01,
0.39,,"[567, 139, 166, 215]",,0.0,,0.02,,0.06,,0.47,,0.04,,0.0,
0.11,,"[564, 136, 165, 213]",,0.0,,0.01,,0.09,,0.75,,0.04,,0.0,
0.12,,"[558, 137, 167, 214]",,0.0,,0.0,,0.04,,0.8,,0.03,,0.0,
0.16,,"[556, 146, 169, 213]",,0.0,,0.01,,0.06,,0.71,,0.06,,0.0,
0.48,,"[555, 161, 163, 206]",,0.0,,0.03,,0.02,,0.41,,0.05,,0.0,
0.22,,"[546, 159, 166, 210]",,0.0,,0.01,,0.05,,0.67,,0.05,,0.0,
0.29,,"[541, 159, 166, 214]",,0.0,,0.01,,0.08,,0.56,,0.06,,0.0,
0.36,,"[529, 156, 172, 219]",,0.0,,0.01,,0.01,,0.56,,0.06,,0.0,
0.28,,"[532, 161, 167, 212]",,0.0,,0.01,,0.02,,0.62,,0.08,,0.0,
0.3,,"[524, 158, 167, 213]",,0.0,,0.01,,0.02,,0.5,,0.18,,0.0,
0.38,,"[523, 169, 161, 202]",,0.0,,0.01,,0.02,,0.52,,0.07,,0.01,
0.21,,"[524, 162, 164, 211]",,0.0,,0.0,,0.01,,0.63,,0.15,,0.0,
0.24,,"[522, 161, 168, 213]",,0.0,,0.0,,0.01,,0.57,,0.18,,0.0,
0.17,,"[525, 161, 172, 219]",,0.0,,0.0,,0.01,,0.61,,0.2,,0.0,
0.32,,"[524, 161, 166, 214]",,0.0,,0.0,,0.04,,0.57,,0.06,,0.0,
0.22,,"[524, 155, 173, 218]",,0.0,,0.0,,0.05,,0.66,,0.07,,0.0,
0.16,,"[540, 162, 159, 203]",,0.0,,0.0,,0.08,,0.71,,0.03,,0.0,
0.35,,"[547, 161, 160, 201]",,0.0,,0.02,,0.03,,0.56,,0.03,,0.01,
0.15,,"[549, 152, 163, 209]",,0.0,,0.0,,0.1,,0.72,,0.02,,0.0,
0.41,,"[552, 156, 161, 205]",,0.0,,0.04,,0.01,,0.47,,0.06,,0.01,
0.36,,"[554, 155, 160, 204]",,0.0,,0.07,,0.01,,0.49,,0.04,,0.04,
0.42,,"[556, 154, 159, 205]",,0.0,,0.07,,0.01,,0.38,,0.03,,0.09,
0.43,,"[558, 152, 158, 205]",,0.0,,0.04,,0.01,,0.42,,0.04,,0.06,
